optS0 = -1603.15439809
tdS0  = -1603.06434903
optS1 = -1603.07368016
optR1 = -1603.06742197

Name     Definition  -optS0_Value  -optS1_Value  -optR1_Value
 D92 D(13,17,19,18)      131.2612      140.2603      155.4100
 D93 D(13,17,19,20)     -106.8543      -98.2587      -80.7764
 D94  D(16,17,19,1)     -169.9798     -163.6530     -142.9454
 D95 D(16,17,19,18)      -50.3000      -43.9858      -24.7974
 D96 D(16,17,19,20)       71.5845       77.4952       99.0162
 D97  D(3,30,31,33)      179.8505      179.8981      179.7385
 D98  D(3,30,31,36)       -1.0164       -0.4124       -0.6879
 D99 D(32,30,31,33)       -0.0807        0.0511       -0.1349
D100 D(32,30,31,36)      179.0523      179.7405      179.4387
D101  D(3,30,32,34)      179.9150     -179.8621     -179.7441
D102  D(3,30,32,37)       -1.0223       -0.3766       -0.1600
D103 D(31,30,32,34)       -0.1542       -0.0162        0.1286
D104 D(31,30,32,37)      178.9085      179.4693      179.7127
D105 D(30,31,33,35)        0.2271       -0.0492        0.0644
D106 D(30,31,33,38)      179.7501      179.8867      179.8771
D107 D(36,31,33,35)     -178.9130     -179.7411     -179.5126
D108 D(36,31,33,38)        0.6099        0.1949        0.3000
D109 D(30,32,34,35)        0.2404       -0.0202       -0.0511
D110 D(30,32,34,39)      179.8252      179.8398      179.8629
D111 D(37,32,34,35)     -178.8369     -179.5141     -179.6419
D112 D(37,32,34,39)        0.7478        0.3460        0.2720
D113 D(31,33,35,34)       -0.1390        0.0113        0.0174
D114 D(31,33,35,50)      179.8522     -179.9476      179.9541
D115 D(38,33,35,34)     -179.6750     -179.9266     -179.8007
D116 D(38,33,35,50)        0.3162        0.1145        0.1359
D117 D(32,34,35,33)       -0.0907        0.0230       -0.0242
D118 D(32,34,35,50)      179.9189      179.9782     -179.9551
D119 D(39,34,35,33)     -179.6668     -179.8344     -179.9366
D120 D(39,34,35,50)        0.3429        0.1207        0.1326
D121 D(33,35,50,51)     -179.7672      179.9034     -179.7124
D122 D(34,35,50,51)        0.2235       -0.0532        0.2206
D123 D(15,40,41,43)     -179.7439     -179.8353     -179.6172
D124 D(15,40,41,46)        1.1621        0.5853        0.8988
D125 D(42,40,41,43)        0.1368        0.0334        0.1788
D126 D(42,40,41,46)     -178.9572     -179.5460     -179.3051
D127 D(15,40,42,44)      179.9981      179.8307      179.6142
D128 D(15,40,42,47)        0.9449        0.3071        0.1985
D129 D(41,40,42,44)        0.1183       -0.0369       -0.1806
D130 D(41,40,42,47)     -178.9349     -179.5605     -179.5963
D131 D(40,41,43,45)       -0.2694        0.0019       -0.0517
D132 D(40,41,43,48)     -179.7450     -179.8623     -179.8602
D133 D(46,41,43,45)      178.8313      179.5842      179.4363
D134 D(46,41,43,48)       -0.6444       -0.2799       -0.3722
D135 D(40,42,44,45)       -0.2387        0.0050        0.0542
D136 D(40,42,44,49)     -179.8194     -179.8616     -179.7903
D137 D(47,42,44,45)      178.8296      179.5363      179.4793
D138 D(47,42,44,49)       -0.7511       -0.3303       -0.3651
D139 D(41,43,45,44)        0.1456       -0.0349       -0.0803
D140 D(41,43,45,55)     -179.8150      179.9748      179.9663
D141 D(48,43,45,44)      179.6356      179.8334      179.7339
D142 D(48,43,45,55)       -0.3250       -0.1569       -0.2195
D143 D(42,44,45,43)        0.1042        0.0314        0.0790
D144 D(42,44,45,55)     -179.9389     -179.9792     -179.9718
