optS0 = -1603.15431279
tdS0  = -1603.06429958
optS1 = -1603.07368808
optR1 = -1603.06736286

Name     Definition  -optS0_Value  -optS1_Value  -optR1_Value
D139 D(41,43,45,44)        0.1432       -0.0132       -0.0762
D140 D(41,43,45,55)     -179.8149     -179.9838      179.9750
D141 D(48,43,45,44)      179.6342      179.8402      179.7459
D142 D(48,43,45,55)       -0.3239       -0.1304       -0.2028
D143 D(42,44,45,43)        0.1120        0.0036        0.0920
D144 D(42,44,45,55)     -179.9264      179.9768     -179.9549
D145 D(49,44,45,43)      179.6826      179.8810      179.9773
D146 D(49,44,45,55)       -0.3558       -0.1458       -0.0696
D147 D(43,45,55,56)        0.0204       -0.0181       -0.1812
D148 D(44,45,55,56)     -179.9389     -179.9897      179.8684
D149 D(35,50,51,52)      179.8784      179.9840      179.8709
D150 D(35,50,51,53)      -61.1538      -61.0763      -61.1810
D151 D(35,50,51,54)       60.8920       61.0301       60.9107
D152 D(45,55,56,57)     -179.8902     -179.9718     -179.8697
D153 D(45,55,56,58)      -60.9071      -61.0160      -60.9095
D154 D(45,55,56,59)       61.1435       61.0920       61.1822
