optS0 = -1603.15231614
tdS0  = -1603.06256775
optS1 = -1603.07083328
optR1 = -1603.0647392

Name     Definition  -optS0_Value  -optS1_Value  -optR1_Value
D143 D(42,44,45,43)        0.1196        0.0062        0.0914
D144 D(42,44,45,55)     -179.9200      179.9806     -179.9538
D145 D(49,44,45,43)      179.6812      179.8829      179.9720
D146 D(49,44,45,55)       -0.3584       -0.1427       -0.0731
D147 D(43,45,55,56)        0.0215       -0.0268       -0.1784
D148 D(44,45,55,56)     -179.9366     -179.9998      179.8694
D149 D(35,50,51,52)      179.8695     -179.9959      179.8670
D150 D(35,50,51,53)      -61.1649      -61.0561      -61.1864
D151 D(35,50,51,54)       60.8853       61.0512       60.9080
D152 D(45,55,56,57)     -179.8895     -179.9760     -179.8661
D153 D(45,55,56,58)      -60.9094      -61.0211      -60.9071
D154 D(45,55,56,59)       61.1458       61.0879       61.1872
